App,Translated_Review,Sentiment,Sentiment_Polarity,Sentiment_Subjectivity
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
PhotoEditor,"Fantastic app",Positive,1.0,0.5333333333333333
